trigger,T50,errT50,T90,errT90
3458,136.384,5.056,673.824,2.049
3465,7.808,0.41,17.056,3.278
3471,3.36,1.073,19.808,3.482
3472,4.096,0.32,15.936,3.343
3473,0.064,0.091,0.128,0.091
3476,1.152,0.091,2.432,0.202
3477,0.821,0.066,1.461,0.326
3480,3.648,0.143,9.15,0.257
3481,3.776,0.091,40.768,0.091
3485,30.496,1.094,114.464,4.346
3486,49.6,0.528,67.776,1.118
3487,0.266,0.068,0.642,0.196
3488,53.952,0.091,60.224,0.779
3489,8.704,0.091,33.056,3.36
3491,4.48,0.091,13.952,0.091
3493,59.072,3.291,83.008,6.789
3494,0.896,0.091,1.408,0.091
3502,0.208,0.023,0.416,0.023
3503,3.648,0.181,26.4,2.073
3505,11.04,1.026,17.44,1.118
3509,5.44,0.32,14.944,2.927
3510,0.138,0.066,0.266,0.218
3511,7.36,0.345,19.904,3.089
3512,9.28,0.389,29.824,1.537
3514,49.408,2.287,88.864,3.117
3515,7.936,0.58,26.816,10.049
3516,6.528,0.091,19.2,1.218
3523,35.584,0.091,59.072,0.143
3527,3.648,0.091,13.568,1.46
3528,99.84,8.336,151.456,3.605
3530,0.512,0.091,1.6,0.091
3545,0.623,0.091,1.439,0.08
3552,9.152,0.692,23.264,4.409
3567,481.984,7.923,589.536,6.988
3569,1.536,0.091,21.024,2.521
3580,8.576,0.916,25.504,3.912
3588,40.576,0.32,57.888,0.89
3593,16.96,0.264,59.072,1.921
3594,41.984,0.286,67.296,3.789
3598,1.664,0.264,6.08,2.244
3606,0.608,0.023,1.824,0.066
3608,5.12,0.143,16.896,1.921
3611,1.216,0.143,3.52,0.771
3618,50.24,0.59,90.176,3.905
3634,112.896,0.516,142.048,1.094
3637,4.224,0.091,13.184,0.516
3640,0.08,0.009,0.228,0.036
3642,0.256,0.091,0.704,0.091
3644,0.296,0.011,0.776,0.033
